second,fps,LibellusLeti_cpu_ms,TurboPlates_cpu_ms,MancerLedger_cpu_ms,COA_DevDump_cpu_ms
1.0,96.8,19.4,0,0,0.1
2.0,94.3,18.5,0,0,0.1
3.0,94.6,18.1,0,0,0.1
4.0,97.7,19.5,0,0,0.1
5.1,72.5,20.6,0,0,0.1
6.1,94.6,55.4,0,0,0.0
7.1,87.2,20.2,0,0,0.1
8.1,87.0,19.5,0,0,0.1
9.1,88.8,16.0,0,0,0.1
10.1,90.9,19.4,0,0,0.1
11.1,86.0,20.7,0,0,0.1
12.1,89.3,14.7,0,0,0.1
13.1,79.2,21.7,0,0,0.1
14.1,31.0,58.4,0,0,0.0
15.1,88.2,19.1,0,0,0.1
16.1,86.5,19.0,0,0,0.1
17.1,80.9,21.2,0,0,0.1
18.1,87.7,15.0,0,0,0.1
19.1,89.3,20.4,0,0,0.1
20.1,85.7,22.4,0,0,0.1
21.1,92.6,15.3,0,0,0.1
22.3,47.8,45.9,0,0,0.0
23.3,92.9,15.9,0,0,0.1
24.3,96.5,14.2,0,0,0.1
25.3,95.8,19.4,0,0,0.1
26.3,91.5,17.9,0,0,0.1
27.3,94.3,15.7,0,0,0.1
28.3,89.8,19.3,0,0,0.1
29.3,86.5,21.3,0,0,0.1
30.4,38.5,53.9,0,0,0.0
31.4,94.0,18.1,0,0,0.1
32.4,91.7,18.0,0,0,0.1
33.4,96.5,15.0,0,0,0.1
34.4,98.4,18.7,0,0,0.1
35.4,93.7,19.7,0,0,0.1
36.4,91.7,14.8,0,0,0.1
37.4,86.0,21.2,0,0,0.1
38.5,35.4,100.3,0,0,0.0
39.5,96.5,15.2,0,0,0.1
40.5,98.0,17.0,0,0,0.1
41.5,95.2,18.7,0,0,0.1
42.5,97.4,13.8,0,0,0.1
43.5,97.4,19.5,0,0,0.1
44.5,94.3,17.2,0,0,0.1
45.5,87.0,16.4,0,0,0.1
46.5,32.1,92.0,0,0,0.0
47.5,97.1,18.4,0,0,0.1
48.5,100.7,14.0,0,0,0.1
49.5,100.3,18.0,0,0,0.1
50.6,101.7,16.8,0,0,0.1
51.6,103.1,14.7,0,0,0.1
52.6,101.0,17.1,0,0,0.1
53.7,67.4,85.1,0,0,0.1
54.6,102.0,8.3,0,0,1.2
55.6,102.4,18.4,0,0,0.1
56.6,102.7,13.3,0,0,0.1
57.6,100.3,17.7,0,0,0.1
58.6,100.7,17.9,0,0,0.1
59.6,92.9,18.4,0,0,0.1
60.6,96.5,17.9,0,0,0.1
61.7,41.0,107.7,0,0,0.0
62.7,103.4,47.3,0,0,0.1
63.7,110.3,18.1,0,0,0.1
64.7,110.3,17.6,0,0,0.1
65.7,109.9,15.3,0,0,0.1
66.7,106.0,17.9,0,0,0.1
67.7,105.3,18.7,0,0,0.1
68.7,86.2,13.3,0,0,0.1
69.7,103.4,74.4,0,0,0.0
70.7,103.1,16.7,0,0,0.1
71.7,104.5,14.4,0,0,0.1
72.7,104.9,17.3,0,0,0.1
73.7,103.8,18.3,0,0,0.1
74.7,98.4,13.8,0,0,0.1
75.7,94.9,18.7,0,0,0.1
76.7,35.1,84.0,0,0,0.0
77.7,106.0,14.6,0,0,0.1
78.7,107.9,16.8,0,0,0.1
79.7,111.1,18.4,0,0,0.1
80.8,107.9,13.7,0,0,0.1
81.8,107.5,20.6,0,0,0.1
82.8,106.8,18.0,0,0,0.1
83.8,51.7,48.4,0,0,0.0
84.8,92.0,35.6,0,0,0.1
85.8,101.4,18.3,0,0,0.1
86.8,95.2,15.1,0,0,0.1
87.8,96.5,19.5,0,0,0.1
88.8,93.5,17.6,0,0,0.1
89.8,95.8,15.4,0,0,0.1
90.8,94.3,18.7,0,0,0.1
91.8,39.5,76.8,0,0,0.0
92.8,101.7,14.0,0,0,0.1
93.8,104.2,18.8,0,0,0.1
94.8,101.0,17.8,0,0,0.1
95.8,105.3,15.3,0,0,0.1
96.8,93.7,17.9,0,0,0.1
97.8,93.5,19.8,0,0,0.1
98.9,79.6,14.2,0,0,0.1
99.9,104.2,27.3,0,0,0.0
100.9,105.6,13.9,0,0,0.1
101.9,105.3,19.1,0,0,0.1
102.9,105.6,17.4,0,0,0.1
103.9,106.4,15.4,0,0,0.1
105.0,99.0,18.6,0,0,0.1
106.0,93.7,19.5,0,0,0.1
107.0,31.7,48.1,0,0,0.0
108.0,102.7,17.2,0,0,0.1
109.0,103.4,18.2,0,0,0.1
110.0,105.3,15.3,0,0,0.1
111.0,108.3,17.6,0,0,0.1
112.0,103.1,19.8,0,0,0.1
113.0,105.3,14.4,0,0,0.1
114.0,70.8,17.0,0,0,0.1
115.0,101.7,46.0,0,0,0.1
116.0,106.8,15.2,0,0,0.1
117.0,101.4,17.6,0,0,0.1
118.1,88.8,30.6,0,0,0.1
119.1,100.7,13.7,0,0,0.1
120.1,97.1,18.4,0,0,0.1
121.1,98.7,18.0,0,0,0.1
122.1,42.1,46.5,0,0,0.0
123.1,103.1,14.5,0,0,0.1
124.1,99.3,18.8,0,0,0.1
125.1,105.3,14.0,0,0,0.1
126.1,101.0,18.3,0,0,0.1
127.1,95.8,17.5,0,0,0.1
128.1,96.2,15.3,0,0,0.1
129.1,84.5,17.9,0,0,0.1
130.1,31.1,47.7,0,0,0.0
131.1,92.6,13.3,0,0,0.1
